id,Airline,Flight,AirportFrom,AirportTo,DayOfWeek,Time,Length,Delay,Passenger ID,First Name,Last Name,Gender,Age,Nationality,Airport Name,Airport Country Code,Country Name,Airport Continent,Continents,Departure Date,Arrival Airport,Pilot Name,Flight Status,Airline Name,Overall_Rating,Review_Title,Review Date,Verified,Review,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Inflight Entertainment,Wifi & Connectivity,Value For Money,Recommended,satisfaction,Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes
142,OO,6647,BZN,DEN,3,345,107,0,qScvIX,Flora,Delgardillo,Female,51,Philippines,General Lucio Blanco International Airport,MX,Mexico,NAM,North America,10/19/2022,REX,Keeley Kiltie,On Time,Aegean Airlines,1,"""The best airline in Europe""",18th September 2022,TRUE,"  The best airline in Europe, professional cabin crew, comfortable seats and excellent service. It was a pleasure to fly with you. Keep up the good work and wishing you all the success.",A321 Neo,Solo Leisure,Economy Class,Prague to Cairo via Athens,Sep-22,5,5,5,5,,,5,yes,satisfied,Loyal Customer,47,Personal Travel,Eco,1977,0,2,0,3,2,0,2,2,2,2,2,4,2,2,0,0
143,OO,6925,PHX,LAX,3,345,85,0,XGQOHz,Dorthea,Wealleans,Female,6,China,Wantoat Airport,PG,Papua New Guinea,OC,Oceania,11/30/2022,WTT,Adi Sinclar,On Time,Aegean Airlines,4,"""passed only once for drinks""",17th September 2022,TRUE,  For a 3.45 hour Helsinki to Athens flight we got served a sandwich and the flight attendants passed only once for drinks. The airline has delays particularly at flights after the morning.,A320,Business,Economy Class,Helsinki to Athens,Sep-22,3,3,1,4,,,2,no,satisfied,Loyal Customer,61,Personal Travel,Eco,291,0,2,0,3,1,3,4,2,2,0,2,1,2,1,0,2
144,OO,6964,RDM,PDX,3,345,58,0,X2Ltf0,Arlyn,Boole,Female,45,Philippines,Sofia Airport,BG,Bulgaria,EU,Europe,1/20/2022,SOF,Cindie Critten,On Time,Aegean Airlines,2,"""luggage arrived nine and twelve days later""",11th September 2022,TRUE,"  Very early morning departure from Tbilisi with a crew that already worked through the night. The male purser, during the preflight information, informed transfer passengers to check luggage procedures in Athens in the inflight magazine - we did it and found out that connecting in Athens from Non-Schengen to Schengen means you have to pick up your luggage, take it through customs and check it in again. With the official 1:05h connecting time it sounded sporty. A biscuit, yogurt, and drinks were served as breakfast, then crew then went behind the curtains and did not show up again until the final approach to Athens. During the descent, they asked the passengers to put the garbage including cups with liquids into the seat pockets. Delayed by 40 minutes we landed in Athens. During taxiing, the purser advised transit passengers to rush to their gates. We made our connection by running and thanks to no traffic at the border guards. Our luggage arrived nine and twelve days later following a lengthy search, no support from Aegean Airlines, no answer to any call or any mail.",A321 classic,Couple Leisure,Economy Class,Tbislis to Frankfurt via Athens ,Jun-22,3,1,2,2,,,3,no,satisfied,Loyal Customer,29,Personal Travel,Eco,1820,0,2,0,3,1,0,1,1,2,1,3,1,3,1,0,0
145,US,1423,DCA,CLT,3,345,85,0,zXX2BI,Jameson,Sayce,Male,53,Brazil,Antônio Guerreiro Airport,BR,Brazil,SAM,South America,9/16/2022,GMS,Maddy Siuda,On Time,Aegean Airlines,6,"""Meal was good for a 90 min flight""",5th September 2022,TRUE,"  Athens to Beirut on an A321. Business class seat is the same as in Economy, hard and rather uncomfortable. Meal was good for a 90 min flight, both in quality and quantity, though I find the pasta with chicken combination weird. No champagne available, only sparkling wine, but good offer of beverages and Greek liquors. Crew young, well-groomed, with some members being somehow snobbish. No WiFi and no entertainment. Will not fly again such a product in Business. On the other side, the brand new Aegean business class at Athens airport for extra-Schenghen flights is quite impressive, in terms of decor, ambiance and food / drinks selection: well done Aegean.",A321,Solo Leisure,Economy Class,Athens to Beirut,Sep-22,2,4,4,4,,,3,yes,satisfied,Loyal Customer,67,Personal Travel,Eco,1721,0,2,0,3,5,0,5,5,4,1,3,3,4,5,9,0
146,XE,2919,LFT,IAH,3,345,58,0,YLxT9W,Collin,Ciepluch,Male,54,China,Central Maine Airport of Norridgewock,US,United States,NAM,North America,4/13/2022,OWK,Torin Le Leu,Delayed,Aegean Airlines,2,"""seats reservation was not allowed""",2nd September 2022,TRUE,"  We are both Star Alliance Gold status holders. We booked a full price Economy class Lufthansa tkt from MRS to Mykonos via MUC & ATH, at a price where seat selection is guaranteed. MRS-MUC-ATH with LH, ATH-JMK flight was an Aegean flight. After purchasing, seats reservation on ATH-JMK flight was not allowed. We wrote and call Aegean, no answer. 48 hours before that specific flight Aegean automatically booked 2 separate seats in the last row. We were allowed to change those seat, paying 6 Euros. This is so petty, that it is ridiculous.",A320,Couple Leisure,Economy Class,Athens to Mykonos,Aug-22,2,3,,1,,,1,no,satisfied,Loyal Customer,21,Personal Travel,Eco,4804,0,2,0,4,5,0,5,5,4,1,4,2,3,5,20,
147,XE,5951,CAK,ORD,3,345,95,0,pPkCA0,Francoise,Mustill,Female,76,Netherlands,Lawson Army Air Field (Fort Benning),US,United States,NAM,North America,7/21/2022,LSF,Carlye Egan,Delayed,Aegean Airlines,2,"""change those seat, paying 12 Euros""",2nd September 2022,TRUE,"  We booked a full price Economy class ticket from Lufthansa, at a price where seat selection is guaranteed. ATH-MUC flight was an Aegean flight. After purchasing, seats reservation on ATH-MUC flight was not allowed. We wrote and call Aegean, no answer. 48 hours before that specific flight Aegean automatically booked 2 separate seats in the back of the aircraft. We were allowed to change those seat, paying 12 Euros. ",A320 Neo,Couple Leisure,Economy Class,Athens to Munich,Sep-22,2,3,3,1,,,1,no,satisfied,Loyal Customer,26,Personal Travel,Eco,3466,0,2,0,4,2,0,2,2,3,1,3,2,4,2,0,0
148,OO,6480,IPL,YUM,3,346,34,0,ccOroQ,Peterus,Lettson,Male,70,Botswana,Ust-Maya Airport,RU,Russian Federation,EU,Europe,11/10/2022,UMS,Eugine Mainwaring,Delayed,Aegean Airlines,1,"""Aegean exceeded my expectations""",18th August 2022,TRUE,  Aegean exceeded my expectations. Didn't expected a snack and few drinks service on a few hours flight. I asked one extra beer when we started our descending and the crew handed out one with a smile. Way more better than other European airlines. I really hope they will earn five star airline status.,A320,Solo Leisure,Economy Class,Berlin to Thessaloniki,Jun-22,5,5,5,5,4,,5,yes,satisfied,Loyal Customer,30,Personal Travel,Eco,2825,0,2,0,4,1,0,1,1,4,1,2,2,3,1,0,0
149,OO,6843,EAU,CWA,3,346,32,0,z2zl1t,Yuri,Crossfield,Male,38,Peru,Dalby Airport,AU,Australia,OC,Oceania,5/15/2022,DBY,Crista Timewell,On Time,Aegean Airlines,5,"""I had to pay 50 euros more""",12th August 2022,TRUE,"  I showed them my ticket to board on the plane. They thought my suitcase was big, then weighed it, and also found my bagpack too big. They never showed me the number shown on the weight scale, or informed me about why my bagpack was considered too big. Instead, they were rude. After me insisting on knowing how many kilos my suitcase was, they told me it was 9 kilos (instead of 8!), for which I had to pay 50 euros more.  I feel that economy class passengers are treated with no respect in the airport, and Aegean attempts to take more money from them, making their life difficult in their airport. I would not recommend flying with Aegean. A sandwich and a cup of coffee on the airplane is not worthy of such bad customer service.",,Solo Leisure,Economy Class,Stuttgart to Thessaloniki via Athens,Aug-22,3,4,3,1,,,1,no,satisfied,Loyal Customer,36,Personal Travel,Eco,2561,0,2,0,4,2,0,2,2,2,2,2,4,4,2,0,0
150,UA,756,SFO,DEN,3,348,158,0,D6SsuG,Kirbee,Wrenn,Female,45,Armenia,Lučenec Airport,SK,Slovakia,EU,Europe,7/27/2022,LUE,Mary Hurch,On Time,Aegean Airlines,1,"""great flight and highly recommended""",11th August 2022,FALSE,"  Smooth check- in procedure at a very busy Athens Airport. Polite and efficient staff on hand to assist. Boarded a clean and shiny A321 Neo, greeted by smiling and courteous crew. Full flight, on time departure, usual high standard of onboard service. Good and clear PA announcements from cockpit in perfect English. Toilets were very clean. Landed early, bags arrived on belt without any issue. Thanks Aegean, great flight and highly recommended.",A321 Neo,Business,Economy Class,Athens to London Heathrow,Aug-22,4,5,5,5,5,5,5,yes,satisfied,Loyal Customer,49,Personal Travel,Eco,2762,0,2,0,4,2,0,4,2,4,1,4,3,4,2,0,15
151,OO,3099,OMA,MKE,3,349,81,1,ZzqP1s,Rici,Rein,Female,85,Russia,Meghauli Airport,NP,Nepal,AS,Asia,2/26/2022,MEY,Eleni Avent,Delayed,Aegean Airlines,1,"""Lost my luggage 3 days ago""",11th August 2022,TRUE,"  Lost my luggage 3 days ago, no call from Aegean or airport. Holiday ruined. We had to re-buy all our clothes again as they made us check in even our cabin luggage.",,Family Leisure,Economy Class,London to Istanbul via Athens,Aug-22,2,2,1,1,,,1,no,satisfied,Loyal Customer,49,Personal Travel,Eco,1184,0,2,0,4,1,2,4,3,3,2,3,2,3,2,12,0
152,9E,3718,ERI,DTW,3,350,65,1,V30YQC,Anestassia,Vauls,Female,20,Albania,Nikolai Airport,US,United States,NAM,North America,8/11/2022,NIB,Lucio Notley,On Time,Aegean Airlines,2,"""Gold Air cannot be reached""",2nd August 2022,TRUE,"  Lost my bag, no support or help from Aegean, trying to blame Gold Air. Gold Air cannot be reached either by phone or email. Aegean refuses to change return ticket to fly back to Crete early, only with extra charge can this be done. This trip is a complete waste of time.  Food / Snack served on the 45 min flight a drink and Pringles. ",,Business,Economy Class,Heraklion to Athens,Aug-22,3,3,1,1,,,1,no,satisfied,Loyal Customer,48,Personal Travel,Eco,1066,0,2,0,4,5,4,4,2,2,0,2,3,2,1,14,7
153,B6,107,BUF,JFK,3,350,83,0,zLM6wt,Virgil,Markussen,Male,79,Philippines,Bemidji Regional Airport,US,United States,NAM,North America,6/19/2022,BJI,Bird Boarder,Cancelled,Aegean Airlines,1,"""inappropriate delay of the flight""",29th July 2022,TRUE,"  After an extremely inappropriate delay of the flight, the boarding procedure was unbearably slowly conducted by the airline employees. Extensive waiting for the bus transport from gate to the aircraft and then 20 minutes of waiting in the aircraft for no reason .",,Business,Economy Class,Athens to Sofia,Jul-22,1,1,,1,,,1,no,satisfied,Loyal Customer,17,Personal Travel,Eco,1740,0,2,0,4,3,0,3,3,4,3,3,2,4,3,0,0
154,DL,1248,IAH,ATL,3,350,130,1,A6Rssr,Marlin,Yegorev,Male,25,Egypt,Muhammad Salahuddin Airport,ID,Indonesia,AS,Asia,8/28/2022,BMU,Saidee Sellers,Cancelled,Aegean Airlines,1,"""we still have no luggage""",11th July 2022,TRUE,"  Worst experience I’ve ever had flying. Lost bags on the flight from Athens to Rome. It’s been about a week now and we still have no luggage. It’s cost us money, time and stress and Aegean don’t reply to emails or answer phones to update us. ",,Couple Leisure,Economy Class,Mykonos to Rome via Athens,Jul-22,1,1,,1,,,1,no,satisfied,Loyal Customer,10,Personal Travel,Eco,1970,0,2,0,4,3,0,3,3,1,3,4,4,3,3,0,0
155,DL,1985,DAY,ATL,3,350,114,0,UFOM9h,Clemmie,Harbertson,Male,76,Ukraine,"Magdeburg ""City"" Airport",DE,Germany,EU,Europe,12/06/2022,ZMG,Tadio Hayne,Cancelled,Aegean Airlines,9,"""Professional service on-board""",9th July 2022,FALSE,"  Athens Airport was extremely busy when I arrived. Proceeded to the Aegean Airlines check-in area which was manned by helpful staff and carried out self check-in. Met by polite staff at bag drop. Queues were starting to form at some counters, the one next to me was being held up by some irritating passengers who were questioning the baggage allowance for hand luggage. The Aegean website clearly states the weight permitted as do the various signs at check-in, yet some people pay no attention to this and continue to be rude and aggressive to check-in staff who are only doing their job, politely and professionally.  Boarded on time, full flight. Politely greeted at door by cabin crew. Professional service on-board. Landed early. Clear announcements from cockpit. Great flight. Recommended.",A321 Neo,Solo Leisure,Economy Class,Athens to London,Jul-22,5,5,5,5,4,5,5,yes,satisfied,Loyal Customer,55,Personal Travel,Eco,994,0,2,0,4,2,4,3,3,3,0,3,1,3,3,68,80
156,DL,2387,MKE,ATL,3,350,129,1,YfqTxa,Happy,Jaskowicz,Female,82,Mexico,Tsletsi Airport,DZ,Algeria,AF,Africa,11/01/2022,QDJ,Meridith Dibbe,Cancelled,Aegean Airlines,2,"""hand luggage to be checked in""",8th July 2022,TRUE,"  Just flew in from Istanbul to Athens on the way to London. The first leg was fine, however this review is about flight A3608 on July 8th 2022 from Athens to London. It seems to have become a habit by airlines to force hand luggage to be checked in which is an annoyance for anyone who is familiar with the wait this results in at Heathrow. The crew are nice and friendly and apart from a minor delay, the flight was on time. I specifically asked for a window seat and was placed in position 28A. It’s only when I got on that I realized this seat is on the emergency door and this aircraft type does not support a window on this position. ",A321 Neo,Solo Leisure,Economy Class,Athens to London,Jul-22,3,3,1,3,,,2,no,satisfied,Loyal Customer,48,Personal Travel,Eco Plus,2391,0,2,0,4,1,0,1,1,3,1,3,3,4,1,0,0
157,DL,2405,PHL,DTW,3,350,115,0,RDnvan,Quentin,Plaschke,Male,37,Syria,Groote Eylandt Airport,AU,Australia,OC,Oceania,3/30/2022,GTE,Honey Gallaway,On Time,Aegean Airlines,1,"""extra hand luggage I had to pay""",7th July 2022,TRUE,"  To include an extra hand luggage I had to pay +20% on the fare. Checking in I weighed my luggage, it was 1.2kg above. I was forced to give it to the hold and not allowed to remove a jumper from my luggage to my backpack. A checked in luggage would have been cheaper than the upgrade I paid for.  This is my worst travel experience in 2022.",,Solo Leisure,Premium Economy,London to Athens,Jul-22,1,1,,1,,,1,no,satisfied,Loyal Customer,58,Personal Travel,Eco,2032,0,2,0,4,4,0,4,4,3,5,2,2,4,4,0,0
158,DL,734,MCI,ATL,3,350,129,0,NzdL85,Paulie,Dunnet,Male,37,Serbia,Lemhi County Airport,US,United States,NAM,North America,1/23/2022,SMN,Ned Marnes,Delayed,Aegean Airlines,1,"""I was allowed 8kg""",3rd July 2022,TRUE,"  For two extra kilos you made me pay 40e. ‌I was flying Aegean Air from Thessaloniki to Athens today (flight A3 111) with economy/light ticket, which includes only one cabin bag of 8kilos. I did forget about this, and came to the airport with my cabin bag and a laptop backpack. After weighting my cabin bag, Aegean stuff said it was 10 kilos, I was allowed 8kg and only one luggage. I said I can put the backpack in the cabin bag, but they refused as this would make it heavier. They clearly didn't want to help me and actually told to to hurry up and pay the fine or I would miss the flight, as people were boarding. I later thought that I could have easily taken out my heavy jacket and trainers - I was wearing flip flops, and make my cabin bag much lighter, so with my laptop it would be a bit over 8 kilos. Very, very disappointing Aegean Air.",A320neo,Solo Leisure,Economy Class,Thessaloniki to Athens,Jul-22,2,2,,1,,,1,no,satisfied,Loyal Customer,50,Personal Travel,Eco,726,0,2,0,4,3,3,4,5,5,0,5,2,5,2,0,1
159,EV,5165,AGS,ATL,3,350,60,0,ivypYb,Wilma,Burdytt,Female,72,Poland,Green River Airport,PG,Papua New Guinea,OC,Oceania,7/11/2022,GVI,Clarey Masding,On Time,Aegean Airlines,9,"""Politely greeted at door""",26th June 2022,FALSE,"  Aegean check-in at Istanbul Airport are the only desks with approachable staff who serve you with a smile. This airport is too big and very impersonal. Expensive Duty Free Shops and eateries Boarded on time, nice, clean aircraft. Politely greeted at door. Slightly delayed departure, short flight, only 50 minutes, drinks and snack served by professional crew. Landed on time. No issues. ",A320,Solo Leisure,Economy Class,Istanbul to Athens,Jun-22,5,5,5,5,4,5,5,yes,satisfied,Loyal Customer,31,Personal Travel,Eco,2206,0,2,0,4,4,0,4,4,1,1,2,4,3,4,0,0
160,FL,331,PHL,ATL,3,350,145,0,6mWhFX,Cobbie,Imorts,Male,18,Croatia,Kenai Municipal Airport,US,United States,NAM,North America,7/03/2022,ENA,Eugenius Grishakov,Delayed,Aegean Airlines,1,"""Aegean lost my bag 7 days ago""",25th June 2022,FALSE,  Aegean lost my bag 7 days ago and it is impossible to contact them. The world tracer is not updated and while they are supposed to contact me after 5 days there is no contact. The bag is an expensive piece of sports equipment and I have no idea if I will see it again. I waited over 50 minutes on their central baggage phone number without answer. I emailed them numerous times and no reply.,,Business,Economy Class,Dublin to Paros via Athens,Jun-22,3,3,3,1,,,1,no,satisfied,Loyal Customer,25,Personal Travel,Eco,2268,0,2,0,4,2,2,2,2,4,3,3,2,4,2,0,3
161,MQ,2734,ABI,DFW,3,350,50,0,mrnMHX,Murry,Entreis,Male,86,Russia,Margaret River (Station) Airport,AU,Australia,OC,Oceania,12/15/2022,MGV,Delora Percival,On Time,Aegean Airlines,7,"""Service was good and attentive as always with this airline""",20th June 2022,TRUE,"  Early morning flight due to flight schedule changes (three months in advance notice). Flight JMK-ATH left early and arrived nearly 20 minutes ahead of schedule in Athens. Despite a nearly 2 hour connection, one of our priority tagged bags did not make it (together with 30 other bags) on the flight from ATH to CPH. It is quite impressive that Gold Air handling missed a whole trolley of bags. Flight to CPH was fine. Good service and quite nice new seats in Business Class (empty middle seat). Breakfast OK, not fantastic. Service was good and attentive as always with this airline. Bag trouble took 1 hour to register in CPH. Friendly service but took a while. One of our bags arrived on the wrong bag belt after us asking where it was. The other bag was left in Athens. Bag arrived following day late at night on a strange bag delivery service as I had to come down to the delivery truck and visually point at my bag. Strange and not very professional. Bottom line, poor to lose a priority bag in a two hour connection. And, by the way, I do not like the way this airline randomly pick on economy people to weigh their bags. In my opinion is either all or none. Not some poor people who has to face a huge cost because of one kg overweight hand luggage. What is really the point of upsetting people. The airline should know that if they write max 5kg hand luggage people will bring 10, if they write 8, they will bring 12. Build this in to the business model!",A320Neo,Couple Leisure,Business Class,Mykonos to Copenhagen via Athens,Jun-22,4,5,3,1,2,1,1,yes,satisfied,Loyal Customer,29,Personal Travel,Eco,1743,0,2,0,4,5,0,5,5,3,2,4,4,4,5,0,0
162,MQ,2796,GRR,DFW,3,350,175,0,bVouYw,George,Wildber,Female,32,Brazil,Abraham Lincoln Capital Airport,US,United States,NAM,North America,4/25/2022,SPI,Sayer Speakman,Delayed,Aegean Airlines,1,"""checked-in luggage has been lost""",20th June 2022,FALSE,"  Horrible. Flight delayed more than 1 hour. After luckily making my connection right on time, upon arriving I find that my checked-in luggage has been lost. I filed a complaint, they said my luggage would be delivered to me in 1 or 2 days. Two days have passed and I have not received any feedback. My address for delivery in their website is incorrect (I chose to send to my temporary address, but they are showing that they are sending to my permanent address, which is in another country). Their websites are broken so you cannot update any information successfully. I called multiple times, one call took more than 35 minutes and nothing was resolved. Other calls I have waited for 20 minutes and then the call was dropped without having the chance to talk to anyone. ",,Solo Leisure,Economy Class,Athens to Paris,Jun-22,2,3,1,1,1,1,1,no,satisfied,Loyal Customer,68,Personal Travel,Business,503,0,2,0,4,5,3,3,4,4,0,4,1,4,2,0,0
163,MQ,3014,FAT,LAX,3,350,65,0,IuO9ec,Bethany,Corona,Female,62,Tanzania,Shahid Sadooghi Airport,IR,"Iran, Islamic Republic of",AS,Asia,8/16/2022,AZD,Elmer Baldock,Cancelled,Aegean Airlines,1,"""exemplary customer service""",18th June 2022,FALSE,"  My employer was stuck for 2 1/2 hours in the Toronto Pearson Airport because of a delayed Air Canada flight headed to Athens, Greece last evening (June 16th, 2022) due to understaffing of airport personnel and consequently would miss his Athens (Aegean Airlines) connection to Mykonos on the other end. I call Aegean's customer service in Athens and spoke with a lovely gentleman, Avgoustis. Avgoustis was calm, reassuring, patient and found me the best possible solution to get my employer on a connecting flight to his final destination (Mykonos) in the shortest time possible. He kept me calm! I really hope that someone will recognize this gentlemen's exemplary customer service.",,Solo Leisure,Economy Class,Athens to Mykonos,Jun-22,,,,,,,5,yes,satisfied,Loyal Customer,48,Personal Travel,Eco,457,0,2,0,4,5,4,4,4,4,0,4,4,4,3,0,0
164,MQ,3332,LBB,DFW,3,350,70,0,wHOHxY,Carolann,Yves,Female,89,Poland,Arathusa Safari Lodge Airport,ZA,South Africa,AF,Africa,10/07/2022,ASS,Dulci Milne,Cancelled,Aegean Airlines,4,"""very rude, no negotiating and very aggressive""",5th May 2022,TRUE," Flight from Athens to Mykonos was great, every part. Our flight from Santorini to Athens - not so good. The agent working at check-in at the Santorini airport was rude, angry and classless. We had only a carry on that we checked once at Athens. We didn't buy anything and actually left our beach towels at the hotel. Upon checking in we were told that one of our carry on luggage was 2 kilos overweight and the other carry on was a half kilo over weight. We tried to explain those original luggage did not incur any problems before. We were charged an extra 50 euros. The way she said it was very rude, no negotiating and very aggressive. I guess this is how they treat you when you are trapped on an island. Definitely recommend the ferry or another airline.",,Couple Leisure,Premium Economy,Santorini to Athens,May-22,4,1,,4,,,3,no,satisfied,Loyal Customer,54,Personal Travel,Eco,1200,0,2,0,4,4,0,4,4,4,1,3,4,4,4,0,0
165,MQ,3632,CLT,MIA,3,350,120,1,iBVqbk,Benson,Hook,Male,29,Indonesia,Bewani Airport,PG,Papua New Guinea,OC,Oceania,11/29/2022,BWP,Kristi Curteis,On Time,Aegean Airlines,1,"""Due personal reasons, we can't fly to Greece""",4th May 2022,TRUE," We booked our flights for December 2021. As covid hit harder, we decided to plan for another month, so we changed our flights for May 2022. Due personal reasons, we can't fly to Greece. I contacted the customer service several times, waiting in the line over 15 minutes, 15 minutes which I need to pay, the second call they told me they cannot help as I booked the flight somewhere else. So I contacted the initial website and got the information, they do not have the booking, as I changed the date on the airline website. Long story short, we lost 400�? I would really recommend to book at bigger airlines, at least you will get help if needed. So disappointing!",,Couple Leisure,Economy Class,Hamburg to Athens,May-22,,,,,,,1,no,satisfied,Loyal Customer,68,Personal Travel,Eco,1732,0,2,0,4,4,0,4,4,3,2,3,2,3,4,0,0
166,MQ,3781,LIT,ORD,3,350,105,0,tL5hxa,Dunstan,Fyrth,Male,42,China,Jwaneng Airport,BW,Botswana,AF,Africa,3/28/2022,JWA,Sallie Jessop,On Time,Aegean Airlines,1,"""Excellent service by the cabin crew"" ",24th April 2022,TRUE,  Excellent service by the cabin crew and the ground crew. They went1 beyond their responsibilities and helped me do the check in for another flight to EU country and communicate with another airport. They are kind and truly helpful! I have been using their service for several years now and I never had a negative experience with them.,A319,Solo Leisure,Economy Class,Heraklion to Athens,Apr-22,5,5,5,5,,,5,yes,satisfied,Loyal Customer,63,Personal Travel,Business,296,0,2,0,4,1,4,3,1,1,0,1,3,1,1,0,0
167,MQ,3842,MSP,ORD,3,350,95,1,8I5hd4,Rutger,Georgeon,Male,54,Myanmar,Turaif Domestic Airport,SA,Saudi Arabia,AS,Asia,2/08/2022,TUI,Steward Sainter,Cancelled,Aegean Airlines,9,"""my first choice to and from Greece""",20th April 2022,FALSE,"  Had to reschedule my flight to Athens from London. Called the Aegean Customer Service line to do this. Lines were busy but didn't wait long. Call answered by very polite agent. I explained my situation about requiring my flight to be rescheduled and my onward connection within Greece. Agent did this and explained the process in excellent English. I paid the extra and booking was complete, no fuss, no bother. Flight was outstanding from start to finish, as usual. These are difficult times for everyone and we need a degree of flexibility. I am still shocked to see how rude and aggressive some passengers are to airline staff when travelling . Aegean is still my first choice to and from Greece, no airline is perfect but they are better than most.",A321 Neo,Solo Leisure,Economy Class,London to Athens,Apr-22,4,5,5,5,5,4,5,yes,satisfied,Loyal Customer,28,Personal Travel,Eco,2096,0,2,0,4,4,0,4,4,3,1,4,3,3,4,1,0
168,MQ,3892,PHL,ORD,3,350,140,0,N3KhpW,Gearalt,Bynold,Male,1,China,Nueva Loja Airport,EC,Ecuador,SAM,South America,12/17/2022,LGQ,Mic Rosenau,Delayed,Aegean Airlines,1,"""They have lost 2 very good clients""",19th April 2022,TRUE," I just wanted to share my terrible experience (and it is the same for a lot of people!) with Aegean Airlines! In my case, after booking a flight to Athens, they first cancelled my flight and, instead of reimbursing the ticket, they offered me a voucher. I've reluctantly accepted, considering that my girlfriend and I go very often to Greece because we love it and we have dear friends there. The voucher, due to the Covid emergency still not allowing us to use it, expired. When I asked a reimbursement, as per point 9 of their Terms & Conditions policy, they have deliberately ignored all the emails I have sent. They have lost 2 very good clients, considering that we had always flown with Aegean and that we keep going to Greece as often as we can. Now I will rather swim to Greece, than using Aegean again! Worst airline ever!",,Family Leisure,Economy Class,Brussels to Athens,May-21,1,1,1,1,1,1,1,no,satisfied,Loyal Customer,63,Personal Travel,Eco,231,0,2,0,4,2,4,3,4,4,0,5,4,4,2,0,0
169,MQ,4013,LEX,ORD,3,350,95,0,pN0any,Ferrel,Elphey,Male,7,Slovenia,Southern Seaplane Airport,US,United States,NAM,North America,3/26/2022,BCS,Queenie Arends,Cancelled,Aegean Airlines,1,"""flexibility is not part of business""",19th April 2022,TRUE,"  Couple hours after purchase through Expedia I realized I had the date one day earlier than what I planned. Called to find a solution. Originally I did not want to cancel the flight, only needed to change it. Aegean policies have no flexibility for the regular changes which would happen. It does not seem Aegean shows any interest in offering a useful service to customers but only have the customer stuck with a charge which they receive no services for because flexibility is not part of business. Aegean's website claims to have 24/7 customer service - I have been on the phone waiting for a rep for about 30 minutes and no answer to the extended that phone was automatically disconnected.",,Couple Leisure,Economy Class,London to Istanbul via Athens,Apr-22,,,,,,,1,no,satisfied,Loyal Customer,26,Personal Travel,Eco,1636,0,2,0,4,5,0,5,5,2,5,3,4,3,5,0,0
170,OH,6498,ORD,ATL,3,350,128,1,sGOSsK,Magda,Nealand,Female,66,United States,Wanuma Airport,PG,Papua New Guinea,OC,Oceania,9/01/2022,WNU,Brnaba Lilburne,Cancelled,Aegean Airlines,3,"""space cannot be considered acceptable for business class""",8th April 2022,TRUE,"  The space for legs cannot be considered acceptable for business class, with my height 1.90 cm I cannot fit my knees straight. It is beyond my understanding why Aegean presenting it as business class.",A319-100,Business,Business Class,Athens to Istanbul,Apr-22,1,5,3,5,,,1,no,satisfied,Loyal Customer,11,Personal Travel,Eco Plus,1394,0,2,0,4,3,0,3,3,2,1,3,2,4,3,0,0
171,OH,6629,GRR,DTW,3,350,61,0,to75jW,Pamella,Eaden,Female,90,Indonesia,Amchitka Army Airfield,US,United States,NAM,North America,6/07/2022,AHT,Pearle Assiter,Cancelled,Aegean Airlines,1,"""The complaints process was long and difficult to use""",7th April 2022,FALSE,"  I bought tickets for flights and hotel however, when I needed to cancel in good time the airline refused to refund me. The level of English was broken at best and there was no attempt on the part of the airline to understand and rectify the issue. The complaints process was long and difficult to use. I tried to use the discount voucher codes for Covid-19 tests that the Aegean website was offering however, there were issues with using the codes so there was no way of using discount. In an attempt to escalate the issue I used the service Resolver, which is normally used as a last resort but this wasn't helpful as the airline simply did not engage in any way. ",,Couple Leisure,Economy Class,London to Athens,Sep-21,1,1,1,1,,,1,no,satisfied,Loyal Customer,16,Personal Travel,Eco,1399,0,2,0,4,5,0,5,5,2,1,3,1,3,5,0,0
